benchmark,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem,solver,status,bound,real,time,mem
circular_pointer_top_w128_d128_e0,abc,time,-1,3600.10,44496.32,7203.0,abc17,time,-1,3600.11,44495.92,7224.0,avr,unk,-1,3576.44,36116.41,22114.0,avy,time,-1,3600.10,35932.69,14772.0,btormc,time,-1,3600.10,3599.97,3957.0,camical,time,-1,3600.11,3600.05,2176.0,cosa2,time,-1,3600.10,14496.58,7644.0,nuxmv,time,-1,3600.10,14395.98,5712.0,pdtrav,time,-1,3600.10,20759.84,14821.0,pono,time,-1,3600.10,18104.55,8118.0
circular_pointer_top_w128_d64_e0,abc,time,-1,3600.10,44607.29,4673.0,abc17,time,-1,3600.10,44615.55,4675.0,avr,unk,-1,3573.75,37385.86,21832.0,avy,time,-1,3600.11,35964.49,9583.0,btormc,time,-1,3600.09,3599.95,1971.0,camical,time,-1,3600.10,3599.99,1163.0,cosa2,time,-1,3600.10,14498.28,5673.0,nuxmv,time,-1,3600.10,14397.41,3762.0,pdtrav,time,-1,3600.10,21490.23,12608.0,pono,time,-1,3600.10,18103.95,5995.0
circular_pointer_top_w16_d128_e0,abc,time,-1,3600.10,44225.90,3945.0,abc17,time,-1,3600.10,44230.53,3881.0,avr,unk,-1,3573.54,35198.60,15333.0,avy,time,-1,3600.10,35995.94,9893.0,btormc,time,-1,3600.09,3599.89,941.0,camical,time,-1,3600.09,3600.00,514.0,cosa2,time,-1,3600.11,14498.37,3455.0,nuxmv,time,-1,3600.10,14397.62,1641.0,pdtrav,time,-1,3600.10,21005.19,8037.0,pono,time,-1,3600.10,18105.43,4881.0
circular_pointer_top_w64_d128_e0,abc,time,-1,3600.10,44606.92,4712.0,abc17,time,-1,3600.10,44617.81,4733.0,avr,unk,-1,3573.23,36076.73,22176.0,avy,time,-1,3600.12,35977.44,11363.0,btormc,time,-1,3600.10,3599.96,2655.0,camical,time,-1,3600.10,3600.04,1239.0,cosa2,time,-1,3600.10,14498.82,7073.0,nuxmv,time,-1,3600.10,14397.51,3649.0,pdtrav,time,-1,3600.10,24522.85,20521.0,pono,time,-1,3600.10,18105.76,6230.0
dspfilters_fastfir_second-p22,abc,time,-1,3600.10,43756.14,2896.0,abc17,time,-1,3600.10,43776.86,2851.0,avr,unk,-1,3576.13,51556.71,32652.0,avy,time,-1,3600.10,35986.84,6441.0,btormc,time,-1,3600.10,3600.01,428.0,camical,time,-1,3600.09,3600.01,384.0,cosa2,time,-1,3600.10,14497.56,1851.0,nuxmv,time,-1,3600.10,14397.83,2224.0,pdtrav,time,-1,3600.10,21235.42,15797.0,pono,time,-1,3600.10,18104.59,5013.0
pgm_protocol.3.prop5-func-interl,abc,time,-1,3600.10,40463.02,3967.0,abc17,time,-1,3600.10,40413.01,3903.0,avr,unk,-1,3574.24,56925.58,56089.0,avy,time,-1,3600.10,35990.87,11172.0,btormc,time,-1,3600.10,3600.04,5596.0,camical,time,-1,3600.09,3600.01,1358.0,cosa2,time,-1,3600.10,14495.32,6693.0,nmtip,unk,-1,0.00,0.00,0.0,nuxmv,time,-1,3600.10,14397.67,3448.0,pdtrav,time,-1,3600.10,21443.04,18733.0,pono,time,-1,3600.10,18103.26,7296.0
picorv32-pcregs-p0,abc,time,-1,3600.10,43354.26,3244.0,abc17,time,-1,3600.11,43360.54,3190.0,avr,unk,-1,3575.53,54194.25,28380.0,avy,time,-1,3600.10,35987.56,3600.0,btormc,time,-1,3600.09,3599.94,377.0,camical,time,-1,3600.10,3600.03,286.0,cosa2,time,-1,3600.10,14497.64,1984.0,nuxmv,time,-1,3600.10,14398.12,2213.0,pdtrav,time,-1,3600.10,28116.86,10880.0,pono,time,-1,3600.10,18105.17,3380.0
picorv32-pcregs-p2,abc,time,-1,3600.10,43422.68,4086.0,abc17,time,-1,3600.10,43423.66,4022.0,avr,unk,-1,3573.22,51295.72,22462.0,avy,time,-1,3600.11,35986.11,4375.0,btormc,time,-1,3600.09,3599.88,476.0,camical,time,-1,3600.09,3599.94,298.0,cosa2,time,-1,3600.10,14496.57,1879.0,nuxmv,time,-1,3600.10,14398.24,1881.0,pdtrav,time,-1,3600.10,28120.83,9898.0,pono,time,-1,3600.10,18104.79,3265.0
picorv32_mutAX_nomem-p2,abc,time,-1,3600.10,42990.28,7703.0,abc17,time,-1,3600.10,42995.27,7723.0,avr,unk,-1,3556.66,56926.93,21452.0,avy,time,-1,3600.11,35946.38,14444.0,btormc,time,-1,3600.09,3599.99,1492.0,camical,time,-1,3600.11,3599.93,1923.0,cosa2,time,-1,3600.10,14498.29,4264.0,nuxmv,time,-1,3600.10,14397.36,5216.0,pdtrav,time,-1,3600.10,24485.19,25636.0,pono,time,-1,3600.10,18105.91,4487.0
rast-p17,abc,time,-1,3600.10,37643.00,13277.0,abc17,time,-1,3600.10,37629.52,13045.0,avr,unk,-1,3572.49,50011.67,43280.0,avy,time,-1,3600.11,35994.22,67627.0,btormc,time,-1,3600.09,3599.82,1781.0,camical,time,-1,3600.13,3600.00,2293.0,cosa2,time,-1,3600.10,14498.27,6786.0,nuxmv,time,-1,3600.10,14397.07,4462.0,pdtrav,time,-1,3600.10,25291.87,11678.0,pono,time,-1,3600.10,18104.78,9788.0
shift_register_top_w128_d64_e0,abc,time,-1,3600.10,40280.30,2900.0,abc17,time,-1,3600.10,42342.79,3318.0,avr,unk,-1,3575.32,49340.17,36158.0,avy,time,-1,3600.11,35930.03,16788.0,btormc,time,-1,3600.09,3599.95,617.0,camical,time,-1,3600.09,3599.99,328.0,cosa2,time,-1,3600.09,14497.58,2179.0,nuxmv,time,-1,3600.10,14397.39,4456.0,pdtrav,time,-1,3600.10,21111.65,7752.0,pono,time,-1,3600.09,18106.16,5366.0
shift_register_top_w16_d128_e0,abc,time,-1,3600.10,41011.10,5164.0,abc17,time,-1,3600.10,40990.10,5132.0,avr,unk,-1,3575.73,53760.92,39945.0,avy,time,-1,3600.10,35995.46,14781.0,btormc,time,-1,3600.10,3599.76,316.0,camical,time,-1,3600.09,3599.91,221.0,cosa2,time,-1,3600.10,14497.08,1565.0,nuxmv,time,-1,3600.09,14398.33,1922.0,pdtrav,time,-1,3600.10,21004.12,9844.0,pono,time,-1,3600.10,18103.11,3084.0
shift_register_top_w32_d128_e0,abc,time,-1,3600.10,38056.23,4014.0,abc17,time,-1,3600.10,38057.70,4676.0,avr,unk,-1,3576.22,56038.78,55429.0,avy,time,-1,3600.10,35988.91,16679.0,btormc,time,-1,3600.10,3599.94,657.0,camical,time,-1,3600.09,3599.90,228.0,cosa2,time,-1,3600.10,14497.88,1749.0,nuxmv,time,-1,3600.10,14397.51,2890.0,pdtrav,time,-1,3600.10,28181.94,6933.0,pono,time,-1,3600.10,18103.45,3798.0
zipversa_composecrc_prf-p03,abc,time,-1,3600.09,3599.51,93.0,abc17,time,-1,3600.09,3599.78,94.0,avr,unk,-1,3575.72,52574.08,67200.0,avy,time,-1,3600.10,35997.65,6540.0,btormc,time,-1,3600.09,3599.97,257.0,camical,time,-1,3600.09,3600.02,187.0,cosa2,time,-1,3600.09,14496.25,4545.0,nmtip,unk,-1,0.00,0.00,0.0,nuxmv,time,-1,3600.09,14398.41,925.0,pdtrav,time,-1,3600.10,28167.82,24502.0,pono,time,-1,3600.10,18104.56,5823.0
